,Neighbourhood,Latitude,Longitude
0,Kempegowda,12.9767,77.5713
1,Chowdeshwari,13.1049,77.5952
2,Attur,13.107000000000001,77.5663
3,Yelahanka New Town,13.1042,77.5713
4,Jakkur,13.0631,77.6207
5,Thanisandra,13.0559,77.6325
6,Byatarayanapura,13.0598,77.5933
7,Kodigehalli,13.0697,77.5788
8,Vidyaranyapura,13.0811,77.5562
9,Doddabommasandra,13.0605,77.562
10,Kuvempunagar,12.9142,77.6147
11,Shettihalli,12.9716,77.5678
12,Mallasandra,13.0607,77.5118
13,Bagalgunte,13.0527,77.4955
14,Dasarahalli,13.058,77.6049
15,Jalahalli,13.0454,77.5479
16,J P Park,13.0328,77.5547
17,Radhakrishna Temple,13.0225,77.5325
18,Sanjay Nagar,13.0369,77.5785
19,Ganganagar,13.0206,77.5887
20,Hebbala,13.0354,77.5988
21,Nagenahalli,13.1309,77.5741
22,Nagawara,13.0422,77.6136
23,HBR Layout,12.9121,77.6446
24,Horamavu,13.0326,77.6583
25,Ramamurthynagar,13.0085,77.6737
26,Banasawadi,13.0104,77.6482
27,Kammanahalli,13.0159,77.6379
28,Kacharakanahalli,13.0156,77.6321
29,K G Halli,13.0186,77.6186
30,Kushal Nagar,13.0199,77.6171
31,Kaval Byrasandra,13.0237,77.608
32,Manorayana Palya,13.0302,77.6041
33,Gangenahalli,13.0227,77.5847
34,Aramane Nagar,13.0145,77.5839
35,Mathikere,13.0334,77.564
36,Yeshwanthpura,13.025,77.53399999999998
37,HMT,13.0495,77.5266
38,Chokkasandra,13.039000000000001,77.5154
39,Doddabidarakallu,13.0333,77.4906
40,Peenya Industrial Area,13.0285,77.5197
41,Lakshmidevinagar,13.0141,77.5268
42,Nandini Layout,13.0137,77.5339
43,Marappana Palya,13.0206,77.5516
44,Malleshwaram,13.0055,77.5692
45,JC Nagar,13.0082,77.5949
46,D J Halli,13.0115,77.6132
47,Muneshwaranagar,12.8963,77.6422
48,Lingarajapura,13.013,77.6262
49,Benniganahalli,12.9951,77.6553
50,Vijanapura,13.0025,77.6747
51,K R Pura,13.017000000000001,77.7044
52,Basavanapura,13.0131,77.71300000000002
53,Hoodi,12.9896,77.7127
54,Devasandra,13.0027,77.7016
55,A. Narayanapura,12.9934,77.6735
56,C V Raman Nagar,12.9793,77.6642
57,New Thippasandra,12.9718,77.6552
58,Maruthi Seva Nagar,13.0014,77.6298
59,Sagayapuram,13.0071,77.6171
60,S K Garden,13.0049,77.6067
61,Ramaswamy Palya,13.0087,77.6341
62,Jayamahal,12.9999,77.5951
63,Raj Mahal Guttahalli,12.9996,77.5838
64,Kadumalleshwara,13.0096,77.5989
65,Subramanya Nagar,13.0064,77.5576
66,Nagapura,13.0422,77.6136
67,Mahalakshmi Layout,13.0146,77.5514
68,Laggere,13.0098,77.5254
69,Rajagopalanagar,13.0126,77.5118
70,Hegganahalli,13.0064,77.5171
71,Herohalli,12.9897,77.4896
72,Kottigepalya,12.9857,77.5117
73,Shakthiganapathi Nagar,12.9923,77.5372
